assists,blocks,field_goal_attempts,field_goals,free_throw_attempts,free_throws,match_date,minutes,personal_fouls,player_name,points,quarter,rebounds,source_url,steals,team,three_point_field_goal_attempts,three_point_field_goals,turnovers
0,1,7,7,1,0,20231101,7:09,3,Deni Avdija,15,Q4,1,https://www.basketball-reference.com/boxscores/202311010ATL.html,1,WAS,1,1,0
,,,,,,20231101,,,Tyus Jones,,Q4,,https://www.basketball-reference.com/boxscores/202311010ATL.html,,WAS,,,
,,,,,,20231101,,,Mike Muscala,,Q4,,https://www.basketball-reference.com/boxscores/202311010ATL.html,,WAS,,,
2,0,3,1,0,0,20231024,6:29,0,Gabe Vincent,2,Q4,0,https://www.basketball-reference.com/boxscores/202310240DEN.html,0,LAL,1,0,0
1,0,3,1,2,2,20231201,6:19,1,Corey Kispert,5,Q4,0,https://www.basketball-reference.com/boxscores/202312010ORL.html,0,WAS,2,1,0
0,0,0,0,0,0,20231201,4:22,0,Danilo Gallinari,0,Q4,0,https://www.basketball-reference.com/boxscores/202312010ORL.html,1,WAS,0,0,1
0,0,3,1,0,0,20231201,12:00,3,Robert Covington,3,Q4,2,https://www.basketball-reference.com/boxscores/202312010BOS.html,0,PHI,2,1,2
1,0,3,1,0,0,20231201,6:58,0,Mo Bamba,2,Q4,2,https://www.basketball-reference.com/boxscores/202312010BOS.html,0,PHI,1,0,0
0,0,1,0,0,0,20231024,4:00,0,Grayson Allen,0,Q4,1,https://www.basketball-reference.com/boxscores/202310240GSW.html,0,PHO,1,0,0
0,0,0,0,3,1,20231101,2:34,0,Jae Crowder,1,Q4,0,https://www.basketball-reference.com/boxscores/202311010TOR.html,0,MIL,0,0,0
0,0,0,0,0,0,20231201,0:36,1,Jaren Jackson Jr.,0,Q4,0,https://www.basketball-reference.com/boxscores/202312010DAL.html,0,MEM,0,0,0
0,0,2,1,0,0,20231025,5:33,2,Jabari Smith Jr.,2,Q4,2,https://www.basketball-reference.com/boxscores/202310250ORL.html,0,HOU,1,0,0
0,0,1,0,0,0,20231101,2:21,0,Jabari Walker,0,Q4,1,https://www.basketball-reference.com/boxscores/202311010DET.html,0,POR,0,0,1
